MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
248,23/02/2020,Getafe,0,Local,Sevilla,Derrota,Derrota,0,2,5,14,7,0,19-20
248,23/02/2020,Sevilla,3,Visitante,Getafe,Victoria,Victoria,1,5,3,17,3,0,19-20
249,23/02/2020,Ath Madrid,3,Local,Villarreal,Victoria,Empate,1,9,6,14,1,0,19-20
249,23/02/2020,Villarreal,1,Visitante,Ath Madrid,Derrota,Empate,1,4,1,6,2,0,19-20
250,28/02/2020,Sociedad,1,Local,Valladolid,Victoria,Empate,0,4,8,15,1,0,19-20
250,28/02/2020,Valladolid,0,Visitante,Sociedad,Derrota,Empate,0,1,4,11,1,0,19-20
251,29/02/2020,Eibar,3,Local,Levante,Victoria,Victoria,1,9,3,15,3,0,19-20
251,29/02/2020,Levante,0,Visitante,Eibar,Derrota,Derrota,0,4,6,16,2,0,19-20
252,29/02/2020,Valencia,2,Local,Betis,Victoria,Empate,0,5,6,13,2,0,19-20
252,29/02/2020,Betis,1,Visitante,Valencia,Derrota,Empate,0,5,7,9,3,0,19-20
253,29/02/2020,Leganes,1,Local,Alaves,Empate,Empate,0,6,6,18,3,0,19-20
253,29/02/2020,Alaves,1,Visitante,Leganes,Empate,Empate,0,4,4,18,3,0,19-20
254,29/02/2020,Granada,0,Local,Celta,Empate,Empate,0,0,6,14,3,0,19-20
254,29/02/2020,Celta,0,Visitante,Granada,Empate,Empate,0,2,1,11,5,0,19-20
255,01/03/2020,Sevilla,3,Local,Osasuna,Victoria,Victoria,2,5,7,9,2,0,19-20
255,01/03/2020,Osasuna,2,Visitante,Sevilla,Derrota,Derrota,0,4,1,14,2,1,19-20
256,01/03/2020,Ath Bilbao,1,Local,Villarreal,Victoria,Empate,0,6,5,11,6,0,19-20
256,01/03/2020,Villarreal,0,Visitante,Ath Bilbao,Derrota,Empate,0,3,6,13,6,0,19-20
257,01/03/2020,Espanol,1,Local,Ath Madrid,Empate,Victoria,1,3,3,20,3,0,19-20
257,01/03/2020,Ath Madrid,1,Visitante,Espanol,Empate,Derrota,0,2,4,18,4,0,19-20
258,01/03/2020,Mallorca,0,Local,Getafe,Derrota,Empate,0,1,4,13,4,1,19-20
258,01/03/2020,Getafe,1,Visitante,Mallorca,Victoria,Empate,0,5,3,24,5,0,19-20
259,01/03/2020,Real Madrid,2,Local,Barcelona,Victoria,Empate,0,5,8,13,2,0,19-20
259,01/03/2020,Barcelona,0,Visitante,Real Madrid,Derrota,Empate,0,4,2,10,2,0,19-20
260,06/03/2020,Alaves,1,Local,Valencia,Empate,Derrota,0,2,3,9,5,0,19-20
260,06/03/2020,Valencia,1,Visitante,Alaves,Empate,Victoria,1,2,3,10,3,0,19-20
261,07/03/2020,Eibar,1,Local,Mallorca,Derrota,Derrota,0,2,4,16,5,0,19-20
261,07/03/2020,Mallorca,2,Visitante,Eibar,Victoria,Victoria,1,4,3,8,3,0,19-20
262,07/03/2020,Ath Madrid,2,Local,Sevilla,Empate,Empate,2,3,8,14,2,0,19-20
