MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,18/08/17,Leganes,1,Local,Alaves,Victoria,Victoria,1,9,4,14,0,0,17-18
1,18/08/17,Alaves,0,Visitante,Leganes,Derrota,Derrota,0,3,2,18,1,0,17-18
2,18/08/17,Valencia,1,Local,Las Palmas,Victoria,Victoria,1,6,5,25,3,0,17-18
2,18/08/17,Las Palmas,0,Visitante,Valencia,Derrota,Derrota,0,4,2,13,3,1,17-18
3,19/08/17,Celta,2,Local,Sociedad,Derrota,Empate,1,5,5,12,3,0,17-18
3,19/08/17,Sociedad,3,Visitante,Celta,Victoria,Empate,1,6,4,11,1,0,17-18
4,19/08/17,Girona,2,Local,Ath Madrid,Empate,Victoria,2,6,6,15,2,0,17-18
4,19/08/17,Ath Madrid,2,Visitante,Girona,Empate,Derrota,0,3,0,15,4,1,17-18
5,19/08/17,Sevilla,1,Local,Espanol,Empate,Empate,1,4,7,14,2,1,17-18
5,19/08/17,Espanol,1,Visitante,Sevilla,Empate,Empate,1,6,3,12,4,0,17-18
6,20/08/17,Ath Bilbao,0,Local,Getafe,Empate,Empate,0,2,7,16,1,0,17-18
6,20/08/17,Getafe,0,Visitante,Ath Bilbao,Empate,Empate,0,2,6,15,3,1,17-18
7,20/08/17,Barcelona,2,Local,Betis,Victoria,Victoria,2,2,8,16,2,0,17-18
7,20/08/17,Betis,0,Visitante,Barcelona,Derrota,Derrota,0,0,0,15,1,0,17-18
8,20/08/17,La Coruna,0,Local,Real Madrid,Derrota,Derrota,0,6,4,16,5,0,17-18
8,20/08/17,Real Madrid,3,Visitante,La Coruna,Victoria,Victoria,2,8,4,12,1,1,17-18
9,21/08/17,Levante,1,Local,Villarreal,Victoria,Empate,0,3,11,18,1,0,17-18
9,21/08/17,Villarreal,0,Visitante,Levante,Derrota,Empate,0,1,6,14,3,0,17-18
10,21/08/17,Malaga,0,Local,Eibar,Derrota,Empate,0,4,3,16,2,0,17-18
10,21/08/17,Eibar,1,Visitante,Malaga,Victoria,Empate,0,6,7,15,3,0,17-18
11,25/08/17,Betis,2,Local,Celta,Victoria,Empate,1,3,4,13,2,0,17-18
11,25/08/17,Celta,1,Visitante,Betis,Derrota,Empate,1,2,6,9,2,0,17-18
12,25/08/17,Sociedad,3,Local,Villarreal,Victoria,Victoria,3,9,10,12,2,0,17-18
12,25/08/17,Villarreal,0,Visitante,Sociedad,Derrota,Derrota,0,1,4,22,2,0,17-18
13,26/08/17,Alaves,0,Local,Barcelona,Derrota,Empate,0,2,1,12,2,0,17-18
13,26/08/17,Barcelona,2,Visitante,Alaves,Victoria,Empate,0,11,14,10,3,0,17-18
14,26/08/17,Girona,1,Local,Malaga,Victoria,Victoria,1,4,2,11,3,0,17-18
14,26/08/17,Malaga,0,Visitante,Girona,Derrota,Derrota,0,2,3,15,4,0,17-18
15,26/08/17,Las Palmas,1,Local,Ath Madrid,Derrota,Derrota,0,4,4,10,4,0,17-18
15,26/08/17,Ath Madrid,5,Visitante,Las Palmas,Victoria,Victoria,2,6,2,9,1,0,17-18
16,26/08/17,Levante,2,Local,La Coruna,Empate,Derrota,1,5,6,11,0,1,17-18
16,26/08/17,La Coruna,2,Visitante,Levante,Empate,Victoria,2,4,5,12,2,0,17-18
17,27/08/17,Eibar,0,Local,Ath Bilbao,Derrota,Derrota,0,5,4,14,1,1,17-18
17,27/08/17,Ath Bilbao,1,Visitante,Eibar,Victoria,Victoria,1,4,3,11,1,0,17-18
18,27/08/17,Espanol,0,Local,Leganes,Derrota,Derrota,0,2,9,10,3,0,17-18
18,27/08/17,Leganes,1,Visitante,Espanol,Victoria,Victoria,1,8,1,14,3,0,17-18
19,27/08/17,Getafe,0,Local,Sevilla,Derrota,Empate,0,3,7,20,0,0,17-18
19,27/08/17,Sevilla,1,Visitante,Getafe,Victoria,Empate,0,3,5,10,1,0,17-18
20,27/08/17,Real Madrid,2,Local,Valencia,Empate,Empate,1,6,13,12,3,0,17-18
20,27/08/17,Valencia,2,Visitante,Real Madrid,Empate,Empate,1,3,4,12,5,0,17-18
21,08/09/17,Leganes,1,Local,Getafe,Derrota,Derrota,0,7,2,14,1,0,17-18
21,08/09/17,Getafe,2,Visitante,Leganes,Victoria,Victoria,1,3,4,20,2,0,17-18
22,09/09/17,Barcelona,5,Local,Espanol,Victoria,Victoria,2,9,8,11,1,0,17-18
22,09/09/17,Espanol,0,Visitante,Barcelona,Derrota,Derrota,0,1,7,18,5,0,17-18
23,09/09/17,Real Madrid,1,Local,Levante,Empate,Empate,1,10,13,9,2,1,17-18
23,09/09/17,Levante,1,Visitante,Real Madrid,Empate,Empate,1,2,3,16,3,0,17-18
24,09/09/17,Sevilla,3,Local,Eibar,Victoria,Empate,0,6,6,14,1,0,17-18
24,09/09/17,Eibar,0,Visitante,Sevilla,Derrota,Empate,0,2,5,18,1,0,17-18
25,09/09/17,Valencia,0,Local,Ath Madrid,Empate,Empate,0,0,4,16,1,0,17-18
25,09/09/17,Ath Madrid,0,Visitante,Valencia,Empate,Empate,0,4,3,14,0,0,17-18
26,10/09/17,Ath Bilbao,2,Local,Girona,Victoria,Victoria,1,4,6,19,4,0,17-18
26,10/09/17,Girona,0,Visitante,Ath Bilbao,Derrota,Derrota,0,7,4,18,6,0,17-18
27,10/09/17,Celta,1,Local,Alaves,Victoria,Victoria,1,3,9,17,4,0,17-18
27,10/09/17,Alaves,0,Visitante,Celta,Derrota,Derrota,0,3,4,17,4,0,17-18
28,10/09/17,La Coruna,2,Local,Sociedad,Derrota,Derrota,1,4,5,18,1,0,17-18
28,10/09/17,Sociedad,4,Visitante,La Coruna,Victoria,Victoria,2,4,7,14,3,0,17-18
29,10/09/17,Villarreal,3,Local,Betis,Victoria,Empate,1,7,4,9,3,0,17-18
29,10/09/17,Betis,1,Visitante,Villarreal,Derrota,Empate,1,3,3,9,0,0,17-18
30,11/09/17,Malaga,1,Local,Las Palmas,Derrota,Derrota,0,6,3,22,4,0,17-18
30,11/09/17,Las Palmas,3,Visitante,Malaga,Victoria,Victoria,1,8,2,11,2,0,17-18
31,15/09/17,Eibar,1,Local,Leganes,Victoria,Empate,0,4,8,15,2,0,17-18
31,15/09/17,Leganes,0,Visitante,Eibar,Derrota,Empate,0,2,1,20,5,0,17-18
32,16/09/17,Ath Madrid,1,Local,Malaga,Victoria,Empate,0,4,8,9,2,0,17-18
32,16/09/17,Malaga,0,Visitante,Ath Madrid,Derrota,Empate,0,4,4,15,2,0,17-18
33,16/09/17,Betis,2,Local,La Coruna,Victoria,Empate,1,7,6,13,2,0,17-18
33,16/09/17,La Coruna,1,Visitante,Betis,Derrota,Empate,1,3,4,19,3,0,17-18
34,16/09/17,Getafe,1,Local,Barcelona,Derrota,Victoria,1,4,3,15,2,0,17-18
34,16/09/17,Barcelona,2,Visitante,Getafe,Victoria,Derrota,0,5,4,14,4,0,17-18
35,16/09/17,Levante,1,Local,Valencia,Empate,Empate,1,2,1,21,2,0,17-18
35,16/09/17,Valencia,1,Visitante,Levante,Empate,Empate,1,5,3,11,1,0,17-18
36,17/09/17,Alaves,0,Local,Villarreal,Derrota,Derrota,0,2,2,12,2,0,17-18
36,17/09/17,Villarreal,3,Visitante,Alaves,Victoria,Victoria,1,6,3,25,2,0,17-18
37,17/09/17,Girona,0,Local,Sevilla,Derrota,Empate,0,0,8,14,2,0,17-18
37,17/09/17,Sevilla,1,Visitante,Girona,Victoria,Empate,0,8,1,19,5,0,17-18
38,17/09/17,Las Palmas,1,Local,Ath Bilbao,Victoria,Empate,0,3,7,12,2,0,17-18
38,17/09/17,Ath Bilbao,0,Visitante,Las Palmas,Derrota,Empate,0,5,6,19,3,0,17-18
39,17/09/17,Sociedad,1,Local,Real Madrid,Derrota,Derrota,1,5,4,12,3,0,17-18
39,17/09/17,Real Madrid,3,Visitante,Sociedad,Victoria,Victoria,2,6,6,15,2,0,17-18
40,18/09/17,Espanol,2,Local,Celta,Victoria,Victoria,2,3,3,12,1,0,17-18
40,18/09/17,Celta,1,Visitante,Espanol,Derrota,Derrota,0,1,5,14,4,0,17-18
41,19/09/17,Barcelona,6,Local,Eibar,Victoria,Victoria,2,10,7,4,0,0,17-18
41,19/09/17,Eibar,1,Visitante,Barcelona,Derrota,Derrota,0,4,7,9,2,0,17-18
42,19/09/17,Valencia,5,Local,Malaga,Victoria,Victoria,1,11,4,9,0,0,17-18
42,19/09/17,Malaga,0,Visitante,Valencia,Derrota,Derrota,0,2,9,10,1,0,17-18
43,20/09/17,Ath Bilbao,1,Local,Ath Madrid,Derrota,Empate,0,7,6,12,0,0,17-18
43,20/09/17,Ath Madrid,2,Visitante,Ath Bilbao,Victoria,Empate,0,9,0,12,2,0,17-18
44,20/09/17,La Coruna,1,Local,Alaves,Victoria,Victoria,1,3,5,16,0,0,17-18
44,20/09/17,Alaves,0,Visitante,La Coruna,Derrota,Derrota,0,3,2,19,2,0,17-18
45,20/09/17,Leganes,0,Local,Girona,Empate,Empate,0,1,6,19,2,0,17-18
45,20/09/17,Girona,0,Visitante,Leganes,Empate,Empate,0,0,3,20,3,0,17-18
46,20/09/17,Real Madrid,0,Local,Betis,Derrota,Empate,0,7,12,13,0,0,17-18
46,20/09/17,Betis,1,Visitante,Real Madrid,Victoria,Empate,0,4,3,11,3,0,17-18
47,20/09/17,Sevilla,1,Local,Las Palmas,Victoria,Empate,0,9,12,21,2,0,17-18
47,20/09/17,Las Palmas,0,Visitante,Sevilla,Derrota,Empate,0,0,0,8,2,0,17-18
48,21/09/17,Celta,1,Local,Getafe,Empate,Victoria,1,4,3,9,2,0,17-18
48,21/09/17,Getafe,1,Visitante,Celta,Empate,Derrota,0,3,2,21,4,0,17-18
49,21/09/17,Levante,3,Local,Sociedad,Victoria,Victoria,1,9,3,13,2,0,17-18
49,21/09/17,Sociedad,0,Visitante,Levante,Derrota,Derrota,0,3,6,11,0,1,17-18
50,21/09/17,Villarreal,0,Local,Espanol,Empate,Empate,0,5,5,17,5,0,17-18
50,21/09/17,Espanol,0,Visitante,Villarreal,Empate,Empate,0,3,5,10,2,0,17-18
51,23/09/17,Alaves,1,Local,Real Madrid,Derrota,Derrota,1,3,5,19,5,0,17-18
51,23/09/17,Real Madrid,2,Visitante,Alaves,Victoria,Victoria,2,7,13,19,2,0,17-18
52,23/09/17,Ath Madrid,2,Local,Sevilla,Victoria,Empate,0,4,7,11,4,0,17-18
52,23/09/17,Sevilla,0,Visitante,Ath Madrid,Derrota,Empate,0,0,6,17,3,0,17-18
53,23/09/17,Girona,0,Local,Barcelona,Derrota,Derrota,0,2,9,21,3,0,17-18
53,23/09/17,Barcelona,3,Visitante,Girona,Victoria,Victoria,1,5,3,5,0,0,17-18
54,23/09/17,Malaga,3,Local,Ath Bilbao,Empate,Empate,1,7,5,16,7,1,17-18
54,23/09/17,Ath Bilbao,3,Visitante,Malaga,Empate,Empate,1,7,1,8,2,0,17-18
55,24/09/17,Eibar,0,Local,Celta,Derrota,Derrota,0,0,4,14,2,0,17-18
55,24/09/17,Celta,4,Visitante,Eibar,Victoria,Victoria,3,6,4,5,1,0,17-18
56,24/09/17,Espanol,4,Local,La Coruna,Victoria,Victoria,2,5,4,16,1,0,17-18
56,24/09/17,La Coruna,1,Visitante,Espanol,Derrota,Derrota,0,6,6,7,2,0,17-18
57,24/09/17,Getafe,4,Local,Villarreal,Victoria,Empate,0,8,7,11,1,0,17-18
57,24/09/17,Villarreal,0,Visitante,Getafe,Derrota,Empate,0,1,4,16,4,0,17-18
58,24/09/17,Las Palmas,0,Local,Leganes,Derrota,Empate,0,3,3,10,1,0,17-18
58,24/09/17,Leganes,2,Visitante,Las Palmas,Victoria,Empate,0,3,2,15,3,0,17-18
59,24/09/17,Sociedad,2,Local,Valencia,Derrota,Empate,1,6,7,11,3,1,17-18
59,24/09/17,Valencia,3,Visitante,Sociedad,Victoria,Empate,1,4,6,13,7,1,17-18
60,25/09/17,Betis,4,Local,Levante,Victoria,Empate,0,6,6,9,1,0,17-18
60,25/09/17,Levante,0,Visitante,Betis,Derrota,Empate,0,1,3,5,0,0,17-18
61,29/09/17,Celta,3,Local,Girona,Empate,Empate,2,9,5,9,2,0,17-18
61,29/09/17,Girona,3,Visitante,Celta,Empate,Empate,2,6,6,17,5,0,17-18
62,30/09/17,La Coruna,2,Local,Getafe,Victoria,Empate,0,9,8,16,6,0,17-18
62,30/09/17,Getafe,1,Visitante,La Coruna,Derrota,Empate,0,3,5,22,3,0,17-18
63,30/09/17,Leganes,0,Local,Ath Madrid,Empate,Empate,0,3,2,13,2,0,17-18
63,30/09/17,Ath Madrid,0,Visitante,Leganes,Empate,Empate,0,2,6,13,1,0,17-18
64,30/09/17,Levante,0,Local,Alaves,Derrota,Derrota,0,0,8,11,2,0,17-18
64,30/09/17,Alaves,2,Visitante,Levante,Victoria,Victoria,1,3,4,18,4,0,17-18
65,30/09/17,Sevilla,2,Local,Malaga,Victoria,Empate,0,5,4,11,2,0,17-18
65,30/09/17,Malaga,0,Visitante,Sevilla,Derrota,Empate,0,4,6,12,1,0,17-18
66,01/10/17,Barcelona,3,Local,Las Palmas,Victoria,Empate,0,10,8,10,5,0,17-18
