ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,Season
1,Real Madrid,100,38,32,4,2,121,32,89,11-12
2,Barcelona,91,38,28,7,3,114,29,85,11-12
3,Valencia,61,38,17,10,11,59,44,15,11-12
4,Malaga,58,38,17,7,14,54,53,1,11-12
5,Ath Madrid,56,38,15,11,12,53,46,7,11-12
6,Levante,55,38,16,7,15,54,50,4,11-12
7,Osasuna,54,38,13,15,10,44,61,-17,11-12
8,Mallorca,52,38,14,10,14,42,46,-4,11-12
9,Sevilla,50,38,13,11,14,48,47,1,11-12
10,Ath Bilbao,49,38,12,13,13,49,52,-3,11-12
11,Getafe,47,38,12,11,15,40,51,-11,11-12
12,Sociedad,47,38,12,11,15,46,52,-6,11-12
13,Betis,47,38,13,8,17,47,56,-9,11-12
14,Espanol,46,38,12,10,16,46,56,-10,11-12
15,Vallecano,43,38,13,4,21,53,73,-20,11-12
16,Zaragoza,43,38,12,7,19,36,61,-25,11-12
17,Granada,42,38,12,6,20,35,56,-21,11-12
18,Villarreal,41,38,9,14,15,39,53,-14,11-12
19,Sp Gijon,37,38,10,7,21,42,69,-27,11-12
20,Santander,27,38,4,15,19,28,63,-35,11-12
