ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,Season
9,Eibar,51,38,14,9,15,44,50,-6,17-18
10,Girona,51,38,14,9,15,50,59,-9,17-18
11,Espanol,49,38,12,13,13,36,42,-6,17-18
12,Sociedad,49,38,14,7,17,66,59,7,17-18
13,Celta,49,38,13,10,15,59,60,-1,17-18
14,Alaves,47,38,15,2,21,40,50,-10,17-18
15,Levante,46,38,11,13,14,44,58,-14,17-18
16,Ath Bilbao,43,38,10,13,15,41,49,-8,17-18
17,Leganes,43,38,12,7,19,34,51,-17,17-18
18,	La Coruna,29,38,6,11,21,38,76,-38,17-18
19,Las Palmas,22,38,5,7,26,24,74,-50,17-18
20,Malaga,20,38,5,5,28,24,61,-37,17-18
1,Barcelona,87,38,26,9,3,90,36,54,18-19
2,Ath Madrid,76,38,22,10,6,55,29,26,18-19
3,Real Madrid,68,38,21,5,12,63,46,17,18-19
4,Valencia,61,38,15,16,7,51,35,16,18-19
5,Getafe,59,38,15,14,9,48,35,13,18-19
6,Sevilla,59,38,17,8,13,62,47,15,18-19
7,Espanol,53,38,14,11,13,48,50,-2,18-19
8,Ath Bilbao,53,38,13,14,11,41,45,-4,18-19
9,Sociedad,50,38,13,11,14,45,46,-1,18-19
10,Betis,50,38,14,8,16,44,52,-8,18-19
11,Alaves,50,38,13,11,14,39,50,-11,18-19
12,Eibar,47,38,11,14,13,46,50,-4,18-19
13,Leganes,45,38,11,12,15,37,43,-6,18-19
14,Villarreal,44,38,10,14,14,49,52,-3,18-19
15,Levante,44,38,11,11,16,59,66,-7,18-19
16,Valladolid,41,38,10,11,17,32,51,-19,18-19
17,Celta,41,38,10,11,17,53,62,-9,18-19
18,Girona,37,38,9,10,19,37,53,-16,18-19
19,Huesca,33,38,7,12,19,43,65,-22,18-19
20,Vallecano,32,38,8,8,22,41,70,-29,18-19
1,Real Madrid,87,38,26,9,3,70,25,45,19-20
2,Barcelona,82,38,25,7,6,86,38,48,19-20
3,Ath Madrid,70,38,18,16,4,51,27,24,19-20
4,Sevilla,70,38,19,13,6,54,34,20,19-20
5,Villarreal,60,38,18,6,14,63,49,14,19-20
6,Sociedad,56,38,16,8,14,56,48,8,19-20
7,Granada,56,38,16,8,14,52,45,7,19-20
8,Getafe,54,38,14,12,12,43,37,6,19-20
9,Valencia,53,38,14,11,13,46,53,-7,19-20
10,Osasuna,52,38,13,13,12,46,54,-8,19-20
11,Ath Bilbao,51,38,13,12,13,41,38,3,19-20
12,Levante,49,38,14,7,17,47,53,-6,19-20
13,Valladolid,42,38,9,15,14,32,43,-11,19-20
14,Eibar,42,38,11,9,18,39,56,-17,19-20
15,Betis,41,38,10,11,17,48,60,-12,19-20
16,Alaves,39,38,10,9,19,34,59,-25,19-20
17,Celta,37,38,7,16,15,37,49,-12,19-20
18,Leganes,36,38,8,12,18,30,51,-21,19-20
19,Mallorca,33,38,9,6,23,40,65,-25,19-20
20,Espanol,25,38,5,10,23,27,58,-31,19-20
1,Ath Madrid,86,38,26,8,4,67,25,42,20-21
2,Real Madrid,84,38,25,9,4,67,28,39,20-21
3,Barcelona,79,38,24,7,7,85,38,47,20-21
4,Sevilla,77,38,24,5,9,53,33,20,20-21
5,Sociedad,62,38,17,11,10,59,38,21,20-21
6,Betis,61,38,17,10,11,50,50,0,20-21
7,Villarreal,58,38,15,13,10,60,44,16,20-21
8,Celta,53,38,14,11,13,55,57,-2,20-21
9,Granada,46,38,13,7,18,47,65,-18,20-21
10,Ath Bilbao,46,38,11,13,14,46,42,4,20-21
11,Osasuna,44,38,11,11,16,37,48,-11,20-21
12,Cadiz,44,38,11,11,16,36,58,-22,20-21
13,Valencia,43,38,10,13,15,50,53,-3,20-21
