ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,Season
1,Barcelona,94,38,30,4,4,110,21,89,14-15
2,Real Madrid,92,38,30,2,6,118,38,80,14-15
3,Ath Madrid,78,38,23,9,6,67,29,38,14-15
4,Valencia,77,38,22,11,5,70,32,38,14-15
5,Sevilla,76,38,23,7,8,71,45,26,14-15
6,Villarreal,60,38,16,12,10,48,37,11,14-15
7,Ath Bilbao,55,38,15,10,13,42,41,1,14-15
8,Celta,51,38,13,12,13,47,44,3,14-15
9,Malaga,50,38,14,8,16,42,48,-6,14-15
10,Espanol,49,38,13,10,15,47,51,-4,14-15
11,Vallecano,49,38,15,4,19,46,68,-22,14-15
12,Sociedad,46,38,11,13,14,44,51,-7,14-15
13,Elche,41,38,11,8,19,35,62,-27,14-15
14,Levante,37,38,9,10,19,34,67,-33,14-15
15,Getafe,37,38,10,7,21,33,64,-31,14-15
16,La Coruna,35,38,7,14,17,35,60,-25,14-15
17,Granada,35,38,7,14,17,29,64,-35,14-15
18,Eibar,35,38,9,8,21,34,55,-21,14-15
19,Almeria,29,38,8,8,22,35,64,-29,14-15
20,Cordoba,20,38,3,11,24,22,68,-46,14-15
