MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,21/08/15,Malaga,0,Local,Sevilla,Empate,Empate,0,5,7,19,3,0,15-16
1,21/08/15,Sevilla,0,Visitante,Malaga,Empate,Empate,0,2,2,11,3,1,15-16
2,22/08/15,Ath Madrid,1,Local,Las Palmas,Victoria,Victoria,1,3,4,11,2,0,15-16
2,22/08/15,Las Palmas,0,Visitante,Ath Madrid,Derrota,Derrota,0,1,4,16,0,0,15-16
3,22/08/15,Espanol,1,Local,Getafe,Victoria,Victoria,1,2,5,19,2,0,15-16
3,22/08/15,Getafe,0,Visitante,Espanol,Derrota,Derrota,0,3,6,14,3,1,15-16
4,22/08/15,La Coruna,0,Local,Sociedad,Empate,Empate,0,5,5,16,3,0,15-16
4,22/08/15,Sociedad,0,Visitante,La Coruna,Empate,Empate,0,2,4,10,2,0,15-16
5,22/08/15,Vallecano,0,Local,Valencia,Empate,Empate,0,3,3,19,3,0,15-16
5,22/08/15,Valencia,0,Visitante,Vallecano,Empate,Empate,0,4,3,11,1,0,15-16
6,23/08/15,Ath Bilbao,0,Local,Barcelona,Derrota,Empate,0,2,2,16,3,0,15-16
6,23/08/15,Barcelona,1,Visitante,Ath Bilbao,Victoria,Empate,0,4,4,11,3,0,15-16
7,23/08/15,Betis,1,Local,Villarreal,Empate,Derrota,0,6,7,11,3,0,15-16
7,23/08/15,Villarreal,1,Visitante,Betis,Empate,Victoria,1,4,5,26,1,1,15-16
8,23/08/15,Levante,1,Local,Celta,Derrota,Derrota,0,2,4,12,1,1,15-16
8,23/08/15,Celta,2,Visitante,Levante,Victoria,Victoria,1,6,6,17,3,0,15-16
9,23/08/15,Sp Gijon,0,Local,Real Madrid,Empate,Empate,0,0,2,20,4,0,15-16
9,23/08/15,Real Madrid,0,Visitante,Sp Gijon,Empate,Empate,0,8,5,4,0,0,15-16
10,24/08/15,Granada,1,Local,Eibar,Derrota,Derrota,0,6,6,5,1,1,15-16
10,24/08/15,Eibar,3,Visitante,Granada,Victoria,Victoria,2,4,5,23,6,0,15-16
11,28/08/15,Villarreal,3,Local,Espanol,Victoria,Derrota,0,4,2,10,1,0,15-16
11,28/08/15,Espanol,1,Visitante,Villarreal,Derrota,Victoria,1,2,3,20,6,0,15-16
12,29/08/15,Barcelona,1,Local,Malaga,Victoria,Empate,0,13,15,4,0,0,15-16
12,29/08/15,Malaga,0,Visitante,Barcelona,Derrota,Empate,0,1,2,21,3,0,15-16
13,29/08/15,Celta,3,Local,Vallecano,Victoria,Victoria,1,7,5,7,2,0,15-16
13,29/08/15,Vallecano,0,Visitante,Celta,Derrota,Derrota,0,0,4,11,2,1,15-16
14,29/08/15,Real Madrid,5,Local,Betis,Victoria,Victoria,2,11,11,12,3,0,15-16
14,29/08/15,Betis,0,Visitante,Real Madrid,Derrota,Derrota,0,1,4,14,3,0,15-16
15,29/08/15,Sociedad,0,Local,Sp Gijon,Empate,Empate,0,1,6,10,4,0,15-16
15,29/08/15,Sp Gijon,0,Visitante,Sociedad,Empate,Empate,0,2,4,15,5,0,15-16
