ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,Season
1,Real Madrid,87,38,26,9,3,70,25,45,19-20
2,Barcelona,82,38,25,7,6,86,38,48,19-20
3,Ath Madrid,70,38,18,16,4,51,27,24,19-20
4,Sevilla,70,38,19,13,6,54,34,20,19-20
5,Villarreal,60,38,18,6,14,63,49,14,19-20
6,Sociedad,56,38,16,8,14,56,48,8,19-20
7,Granada,56,38,16,8,14,52,45,7,19-20
8,Getafe,54,38,14,12,12,43,37,6,19-20
9,Valencia,53,38,14,11,13,46,53,-7,19-20
10,Osasuna,52,38,13,13,12,46,54,-8,19-20
11,Ath Bilbao,51,38,13,12,13,41,38,3,19-20
12,Levante,49,38,14,7,17,47,53,-6,19-20
13,Valladolid,42,38,9,15,14,32,43,-11,19-20
14,Eibar,42,38,11,9,18,39,56,-17,19-20
15,Betis,41,38,10,11,17,48,60,-12,19-20
16,Alaves,39,38,10,9,19,34,59,-25,19-20
17,Celta,37,38,7,16,15,37,49,-12,19-20
18,Leganes,36,38,8,12,18,30,51,-21,19-20
19,Mallorca,33,38,9,6,23,40,65,-25,19-20
20,Espanol,25,38,5,10,23,27,58,-31,19-20
