MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,17/08/2018,Betis,0,Local,Levante,Derrota,Derrota,0,8,5,10,0,0,18-19
1,17/08/2018,Levante,3,Visitante,Betis,Victoria,Victoria,1,4,3,10,2,0,18-19
2,17/08/2018,Girona,0,Local,Valladolid,Empate,Empate,0,1,3,21,1,0,18-19
2,17/08/2018,Valladolid,0,Visitante,Girona,Empate,Empate,0,1,2,20,1,0,18-19
3,18/08/2018,Barcelona,3,Local,Alaves,Victoria,Empate,0,9,7,6,0,0,18-19
3,18/08/2018,Alaves,0,Visitante,Barcelona,Derrota,Empate,0,0,1,13,2,0,18-19
4,18/08/2018,Celta,1,Local,Espanol,Empate,Derrota,0,2,8,13,3,0,18-19
4,18/08/2018,Espanol,1,Visitante,Celta,Empate,Victoria,1,5,7,14,2,0,18-19
5,18/08/2018,Villarreal,1,Local,Sociedad,Derrota,Empate,1,7,4,16,2,0,18-19
5,18/08/2018,Sociedad,2,Visitante,Villarreal,Victoria,Empate,1,4,6,10,3,0,18-19
6,19/08/2018,Eibar,1,Local,Huesca,Derrota,Derrota,0,6,7,12,1,0,18-19
6,19/08/2018,Huesca,2,Visitante,Eibar,Victoria,Victoria,2,6,0,13,1,0,18-19
7,19/08/2018,Real Madrid,2,Local,Getafe,Victoria,Victoria,1,3,3,11,1,0,18-19
7,19/08/2018,Getafe,0,Visitante,Real Madrid,Derrota,Derrota,0,1,0,27,7,0,18-19
8,19/08/2018,Vallecano,1,Local,Sevilla,Derrota,Derrota,0,2,2,6,1,0,18-19
8,19/08/2018,Sevilla,4,Visitante,Vallecano,Victoria,Victoria,3,8,6,15,0,0,18-19
9,20/08/2018,Ath Bilbao,2,Local,Leganes,Victoria,Empate,1,5,6,12,4,0,18-19
9,20/08/2018,Leganes,1,Visitante,Ath Bilbao,Derrota,Empate,1,2,2,13,5,0,18-19
10,20/08/2018,Valencia,1,Local,Ath Madrid,Empate,Derrota,0,4,4,10,2,0,18-19
10,20/08/2018,Ath Madrid,1,Visitante,Valencia,Empate,Victoria,1,3,10,15,3,0,18-19
11,24/08/2018,Getafe,2,Local,Eibar,Victoria,Victoria,1,4,5,14,2,0,18-19
11,24/08/2018,Eibar,0,Visitante,Getafe,Derrota,Derrota,0,0,5,11,1,0,18-19
12,24/08/2018,Leganes,2,Local,Sociedad,Empate,Derrota,0,5,5,12,1,0,18-19
12,24/08/2018,Sociedad,2,Visitante,Leganes,Empate,Victoria,2,6,0,9,2,0,18-19
13,25/08/2018,Alaves,0,Local,Betis,Empate,Empate,0,4,5,17,3,0,18-19
13,25/08/2018,Betis,0,Visitante,Alaves,Empate,Empate,0,5,6,15,1,0,18-19
14,25/08/2018,Ath Madrid,1,Local,Vallecano,Victoria,Empate,0,2,8,7,1,0,18-19
14,25/08/2018,Vallecano,0,Visitante,Ath Madrid,Derrota,Empate,0,3,5,8,1,0,18-19
15,25/08/2018,Valladolid,0,Local,Barcelona,Derrota,Empate,0,4,6,13,1,0,18-19
15,25/08/2018,Barcelona,1,Visitante,Valladolid,Victoria,Empate,0,5,10,11,1,0,18-19
16,26/08/2018,Espanol,2,Local,Valencia,Victoria,Empate,0,9,6,16,1,0,18-19
16,26/08/2018,Valencia,0,Visitante,Espanol,Derrota,Empate,0,4,10,12,1,0,18-19
17,26/08/2018,Girona,1,Local,Real Madrid,Derrota,Empate,1,5,4,13,2,0,18-19
17,26/08/2018,Real Madrid,4,Visitante,Girona,Victoria,Empate,1,8,7,11,3,0,18-19
18,26/08/2018,Sevilla,0,Local,Villarreal,Empate,Empate,0,2,4,13,3,0,18-19
18,26/08/2018,Villarreal,0,Visitante,Sevilla,Empate,Empate,0,6,5,14,2,0,18-19
19,27/08/2018,Ath Bilbao,2,Local,Huesca,Empate,Empate,0,4,3,17,2,0,18-19
19,27/08/2018,Huesca,2,Visitante,Ath Bilbao,Empate,Empate,0,4,2,17,2,0,18-19
20,27/08/2018,Levante,1,Local,Celta,Derrota,Derrota,0,6,7,14,2,0,18-19
20,27/08/2018,Celta,2,Visitante,Levante,Victoria,Victoria,2,9,7,8,3,0,18-19
21,31/08/2018,Eibar,2,Local,Sociedad,Victoria,Empate,1,2,4,18,3,0,18-19
21,31/08/2018,Sociedad,1,Visitante,Eibar,Derrota,Empate,1,2,2,15,2,0,18-19
22,31/08/2018,Getafe,0,Local,Valladolid,Empate,Empate,0,3,6,22,3,0,18-19
22,31/08/2018,Valladolid,0,Visitante,Getafe,Empate,Empate,0,4,7,14,1,0,18-19
23,31/08/2018,Villarreal,0,Local,Girona,Derrota,Empate,0,3,7,15,3,0,18-19
23,31/08/2018,Girona,1,Visitante,Villarreal,Victoria,Empate,0,6,2,11,2,0,18-19
24,01/09/2018,Celta,2,Local,Ath Madrid,Victoria,Empate,0,4,2,12,4,0,18-19
24,01/09/2018,Ath Madrid,0,Visitante,Celta,Derrota,Empate,0,0,8,14,5,1,18-19
25,01/09/2018,Real Madrid,4,Local,Leganes,Victoria,Empate,1,8,8,11,1,0,18-19
25,01/09/2018,Leganes,1,Visitante,Real Madrid,Derrota,Empate,1,3,1,11,1,0,18-19
26,02/09/2018,Alaves,2,Local,Espanol,Victoria,Derrota,0,5,0,19,4,0,18-19
26,02/09/2018,Espanol,1,Visitante,Alaves,Derrota,Victoria,1,7,12,13,3,0,18-19
27,02/09/2018,Barcelona,8,Local,Huesca,Victoria,Victoria,3,15,9,6,1,0,18-19
27,02/09/2018,Huesca,2,Visitante,Barcelona,Derrota,Derrota,2,3,4,12,2,0,18-19
28,02/09/2018,Betis,1,Local,Sevilla,Victoria,Empate,0,3,5,15,3,0,18-19
28,02/09/2018,Sevilla,0,Visitante,Betis,Derrota,Empate,0,2,8,17,6,1,18-19
29,02/09/2018,Levante,2,Local,Valencia,Empate,Victoria,2,4,3,14,4,1,18-19
29,02/09/2018,Valencia,2,Visitante,Levante,Empate,Derrota,1,5,5,10,2,0,18-19
30,14/09/2018,Huesca,0,Local,Vallecano,Derrota,Derrota,0,4,6,16,2,0,18-19
30,14/09/2018,Vallecano,1,Visitante,Huesca,Victoria,Victoria,1,2,3,18,1,0,18-19
31,15/09/2018,Ath Bilbao,1,Local,Real Madrid,Empate,Victoria,1,3,1,18,6,0,18-19
31,15/09/2018,Real Madrid,1,Visitante,Ath Bilbao,Empate,Derrota,0,6,2,6,2,0,18-19
32,15/09/2018,Ath Madrid,1,Local,Eibar,Empate,Empate,0,9,14,5,2,0,18-19
32,15/09/2018,Eibar,1,Visitante,Ath Madrid,Empate,Empate,0,3,3,21,2,0,18-19
33,15/09/2018,Sociedad,1,Local,Barcelona,Derrota,Victoria,1,5,1,18,1,0,18-19
33,15/09/2018,Barcelona,2,Visitante,Sociedad,Victoria,Derrota,0,6,6,8,1,0,18-19
34,15/09/2018,Valencia,0,Local,Betis,Empate,Empate,0,2,5,22,6,0,18-19
34,15/09/2018,Betis,0,Visitante,Valencia,Empate,Empate,0,6,4,9,3,0,18-19
35,16/09/2018,Espanol,1,Local,Levante,Victoria,Empate,0,9,5,17,1,0,18-19
35,16/09/2018,Levante,0,Visitante,Espanol,Derrota,Empate,0,4,4,13,2,0,18-19
36,16/09/2018,Leganes,0,Local,Villarreal,Derrota,Empate,0,3,6,16,4,0,18-19
36,16/09/2018,Villarreal,1,Visitante,Leganes,Victoria,Empate,0,3,1,9,3,0,18-19
37,16/09/2018,Sevilla,0,Local,Getafe,Derrota,Derrota,0,1,7,10,3,0,18-19
37,16/09/2018,Getafe,2,Visitante,Sevilla,Victoria,Victoria,2,5,1,22,6,0,18-19
38,16/09/2018,Valladolid,0,Local,Alaves,Derrota,Empate,0,5,7,9,3,0,18-19
38,16/09/2018,Alaves,1,Visitante,Valladolid,Victoria,Empate,0,4,2,12,2,0,18-19
39,17/09/2018,Girona,3,Local,Celta,Victoria,Victoria,2,6,3,15,1,0,18-19
39,17/09/2018,Celta,2,Visitante,Girona,Derrota,Derrota,1,7,1,11,3,1,18-19
40,21/09/2018,Huesca,0,Local,Sociedad,Derrota,Empate,0,3,7,16,5,0,18-19
40,21/09/2018,Sociedad,1,Visitante,Huesca,Victoria,Empate,0,1,5,12,3,2,18-19
