MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,13/08/2021,Valencia,1,Local,Getafe,Victoria,Victoria,1,2,1,24,6,1,21-22
1,13/08/2021,Getafe,0,Visitante,Valencia,Derrota,Derrota,0,4,9,15,3,1,21-22
2,14/08/2021,Cadiz,1,Local,Levante,Empate,Derrota,0,2,2,10,1,0,21-22
2,14/08/2021,Levante,1,Visitante,Cadiz,Empate,Victoria,1,3,4,16,5,0,21-22
3,14/08/2021,Mallorca,1,Local,Betis,Empate,Victoria,1,2,4,12,1,0,21-22
3,14/08/2021,Betis,1,Visitante,Mallorca,Empate,Derrota,0,1,3,18,3,0,21-22
4,14/08/2021,Alaves,1,Local,Real Madrid,Derrota,Empate,0,4,0,14,1,0,21-22
4,14/08/2021,Real Madrid,4,Visitante,Alaves,Victoria,Empate,0,7,4,10,2,0,21-22
5,14/08/2021,Osasuna,0,Local,Espanol,Empate,Empate,0,1,4,18,3,0,21-22
5,14/08/2021,Espanol,0,Visitante,Osasuna,Empate,Empate,0,3,6,12,3,0,21-22
6,15/08/2021,Celta,1,Local,Ath Madrid,Derrota,Derrota,0,2,2,11,4,1,21-22
6,15/08/2021,Ath Madrid,2,Visitante,Celta,Victoria,Victoria,1,4,5,9,5,1,21-22
7,15/08/2021,Barcelona,4,Local,Sociedad,Victoria,Victoria,2,8,5,11,2,0,21-22
7,15/08/2021,Sociedad,2,Visitante,Barcelona,Derrota,Derrota,0,3,3,18,4,0,21-22
8,15/08/2021,Sevilla,3,Local,Vallecano,Victoria,Victoria,1,8,4,14,1,0,21-22
8,15/08/2021,Vallecano,0,Visitante,Sevilla,Derrota,Derrota,0,3,0,7,0,1,21-22
9,16/08/2021,Villarreal,0,Local,Granada,Empate,Empate,0,4,6,19,5,1,21-22
9,16/08/2021,Granada,0,Visitante,Villarreal,Empate,Empate,0,1,2,21,1,0,21-22
10,16/08/2021,Elche,0,Local,Ath Bilbao,Empate,Empate,0,2,6,13,2,0,21-22
10,16/08/2021,Ath Bilbao,0,Visitante,Elche,Empate,Empate,0,3,8,19,2,0,21-22
11,20/08/2021,Betis,1,Local,Cadiz,Empate,Empate,1,7,4,12,4,0,21-22
11,20/08/2021,Cadiz,1,Visitante,Betis,Empate,Empate,1,3,5,10,0,0,21-22
12,21/08/2021,Alaves,0,Local,Mallorca,Derrota,Empate,0,4,1,14,3,1,21-22
12,21/08/2021,Mallorca,1,Visitante,Alaves,Victoria,Empate,0,2,8,15,3,0,21-22
13,21/08/2021,Espanol,0,Local,Villarreal,Empate,Empate,0,3,9,10,3,0,21-22
13,21/08/2021,Villarreal,0,Visitante,Espanol,Empate,Empate,0,2,7,10,4,0,21-22
14,21/08/2021,Granada,1,Local,Valencia,Empate,Victoria,1,2,2,14,4,0,21-22
14,21/08/2021,Valencia,1,Visitante,Granada,Empate,Derrota,0,7,6,12,2,0,21-22
15,21/08/2021,Ath Bilbao,1,Local,Barcelona,Empate,Empate,0,7,13,15,1,0,21-22
15,21/08/2021,Barcelona,1,Visitante,Ath Bilbao,Empate,Empate,0,3,2,10,2,1,21-22
16,22/08/2021,Sociedad,1,Local,Vallecano,Victoria,Empate,0,8,5,19,3,0,21-22
16,22/08/2021,Vallecano,0,Visitante,Sociedad,Derrota,Empate,0,1,4,15,4,0,21-22
17,22/08/2021,Ath Madrid,1,Local,Elche,Victoria,Victoria,1,4,2,16,2,0,21-22
17,22/08/2021,Elche,0,Visitante,Ath Madrid,Derrota,Derrota,0,2,1,10,2,0,21-22
18,22/08/2021,Levante,3,Local,Real Madrid,Empate,Derrota,0,4,4,17,3,1,21-22
18,22/08/2021,Real Madrid,3,Visitante,Levante,Empate,Victoria,1,5,6,7,2,0,21-22
19,23/08/2021,Getafe,0,Local,Sevilla,Derrota,Empate,0,0,5,18,2,0,21-22
19,23/08/2021,Sevilla,1,Visitante,Getafe,Victoria,Empate,0,3,4,10,2,0,21-22
20,23/08/2021,Osasuna,0,Local,Celta,Empate,Empate,0,7,1,19,4,0,21-22
20,23/08/2021,Celta,0,Visitante,Osasuna,Empate,Empate,0,0,2,8,3,0,21-22
21,27/08/2021,Mallorca,1,Local,Espanol,Victoria,Victoria,1,6,3,16,4,0,21-22
21,27/08/2021,Espanol,0,Visitante,Mallorca,Derrota,Derrota,0,3,2,17,3,1,21-22
22,27/08/2021,Valencia,3,Local,Alaves,Victoria,Victoria,2,4,4,20,1,0,21-22
22,27/08/2021,Alaves,0,Visitante,Valencia,Derrota,Derrota,0,3,4,15,4,0,21-22
23,28/08/2021,Celta,0,Local,Ath Bilbao,Derrota,Derrota,0,0,5,12,2,0,21-22
23,28/08/2021,Ath Bilbao,1,Visitante,Celta,Victoria,Victoria,1,2,4,11,1,0,21-22
24,28/08/2021,Elche,1,Local,Sevilla,Empate,Empate,1,4,5,6,2,0,21-22
24,28/08/2021,Sevilla,1,Visitante,Elche,Empate,Empate,1,5,3,9,0,0,21-22
25,28/08/2021,Sociedad,1,Local,Levante,Victoria,Victoria,1,2,2,17,1,0,21-22
25,28/08/2021,Levante,0,Visitante,Sociedad,Derrota,Derrota,0,0,2,13,1,0,21-22
26,28/08/2021,Betis,0,Local,Real Madrid,Derrota,Empate,0,6,3,15,5,0,21-22
26,28/08/2021,Real Madrid,1,Visitante,Betis,Victoria,Empate,0,3,7,13,3,0,21-22
27,29/08/2021,Barcelona,2,Local,Getafe,Victoria,Victoria,2,3,3,16,3,0,21-22
27,29/08/2021,Getafe,1,Visitante,Barcelona,Derrota,Derrota,1,3,2,22,1,0,21-22
28,29/08/2021,Cadiz,2,Local,Osasuna,Derrota,Victoria,1,3,4,9,4,0,21-22
