MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,17/08/13,Sociedad,2,Local,Getafe,Victoria,Victoria,1,6,6,13,1,0,13-14
1,17/08/13,Getafe,0,Visitante,Sociedad,Derrota,Derrota,0,2,5,6,1,0,13-14
2,17/08/13,Valencia,1,Local,Malaga,Victoria,Empate,0,1,9,15,3,0,13-14
2,17/08/13,Malaga,0,Visitante,Valencia,Derrota,Empate,0,2,6,23,5,0,13-14
3,17/08/13,Valladolid,1,Local,Ath Bilbao,Derrota,Empate,1,2,5,10,1,0,13-14
3,17/08/13,Ath Bilbao,2,Visitante,Valladolid,Victoria,Empate,1,3,5,8,0,0,13-14
4,18/08/13,Barcelona,7,Local,Levante,Victoria,Victoria,6,13,9,15,1,0,13-14
4,18/08/13,Levante,0,Visitante,Barcelona,Derrota,Derrota,0,1,3,16,3,0,13-14
5,18/08/13,Osasuna,1,Local,Granada,Derrota,Derrota,0,5,7,15,1,0,13-14
5,18/08/13,Granada,2,Visitante,Osasuna,Victoria,Victoria,2,4,6,17,4,0,13-14
6,18/08/13,Real Madrid,2,Local,Betis,Victoria,Empate,1,9,5,11,1,0,13-14
6,18/08/13,Betis,1,Visitante,Real Madrid,Derrota,Empate,1,4,7,20,2,0,13-14
7,18/08/13,Sevilla,1,Local,Ath Madrid,Derrota,Empate,1,5,1,12,4,0,13-14
7,18/08/13,Ath Madrid,3,Visitante,Sevilla,Victoria,Empate,1,6,9,13,4,0,13-14
8,19/08/13,Almeria,2,Local,Villarreal,Derrota,Victoria,1,2,6,17,2,0,13-14
8,19/08/13,Villarreal,3,Visitante,Almeria,Victoria,Derrota,0,4,10,14,0,0,13-14
9,19/08/13,Celta,2,Local,Espanol,Empate,Victoria,1,10,7,23,4,0,13-14
9,19/08/13,Espanol,2,Visitante,Celta,Empate,Derrota,0,5,2,12,4,0,13-14
10,19/08/13,Vallecano,3,Local,Elche,Victoria,Victoria,2,5,3,16,2,0,13-14
10,19/08/13,Elche,0,Visitante,Vallecano,Derrota,Derrota,0,1,4,11,2,0,13-14
11,23/08/13,Ath Bilbao,2,Local,Osasuna,Victoria,Victoria,1,2,5,15,2,0,13-14
11,23/08/13,Osasuna,0,Visitante,Ath Bilbao,Derrota,Derrota,0,5,10,20,2,0,13-14
12,23/08/13,Getafe,2,Local,Almeria,Empate,Derrota,1,5,2,15,2,0,13-14
12,23/08/13,Almeria,2,Visitante,Getafe,Empate,Victoria,2,7,7,17,1,0,13-14
13,24/08/13,Elche,1,Local,Sociedad,Empate,Victoria,1,2,4,9,4,0,13-14
13,24/08/13,Sociedad,1,Visitante,Elche,Empate,Derrota,0,4,2,12,3,0,13-14
14,24/08/13,Espanol,3,Local,Valencia,Victoria,Empate,1,3,6,17,3,0,13-14
14,24/08/13,Valencia,1,Visitante,Espanol,Derrota,Empate,1,2,3,12,3,0,13-14
15,24/08/13,Villarreal,2,Local,Valladolid,Victoria,Empate,1,6,8,11,4,0,13-14
15,24/08/13,Valladolid,1,Visitante,Villarreal,Derrota,Empate,1,2,3,25,2,0,13-14
16,25/08/13,Ath Madrid,5,Local,Vallecano,Victoria,Victoria,3,5,8,11,0,0,13-14
16,25/08/13,Vallecano,0,Visitante,Ath Madrid,Derrota,Derrota,0,1,3,9,1,0,13-14
17,25/08/13,Betis,1,Local,Celta,Derrota,Empate,0,6,12,9,1,0,13-14
17,25/08/13,Celta,2,Visitante,Betis,Victoria,Empate,0,4,8,18,3,1,13-14
18,25/08/13,Levante,0,Local,Sevilla,Empate,Empate,0,3,5,17,3,0,13-14
18,25/08/13,Sevilla,0,Visitante,Levante,Empate,Empate,0,3,7,18,5,0,13-14
19,25/08/13,Malaga,0,Local,Barcelona,Derrota,Derrota,0,3,2,14,3,0,13-14
19,25/08/13,Barcelona,1,Visitante,Malaga,Victoria,Victoria,1,11,11,12,2,0,13-14
20,26/08/13,Granada,0,Local,Real Madrid,Derrota,Derrota,0,3,5,14,4,0,13-14
20,26/08/13,Real Madrid,1,Visitante,Granada,Victoria,Victoria,1,8,8,10,2,0,13-14
21,30/08/13,Almeria,2,Local,Elche,Empate,Victoria,2,5,4,18,3,1,13-14
21,30/08/13,Elche,2,Visitante,Almeria,Empate,Derrota,1,9,5,18,5,0,13-14
22,30/08/13,Vallecano,1,Local,Levante,Derrota,Derrota,0,8,8,14,4,1,13-14
22,30/08/13,Levante,2,Visitante,Vallecano,Victoria,Victoria,1,2,1,17,3,0,13-14
23,31/08/13,Celta,1,Local,Granada,Empate,Victoria,1,4,6,9,1,0,13-14
23,31/08/13,Granada,1,Visitante,Celta,Empate,Derrota,0,1,5,6,2,0,13-14
24,31/08/13,Osasuna,0,Local,Villarreal,Derrota,Derrota,0,3,7,15,3,0,13-14
24,31/08/13,Villarreal,3,Visitante,Osasuna,Victoria,Victoria,2,4,8,14,2,0,13-14
25,31/08/13,Valladolid,1,Local,Getafe,Victoria,Empate,0,6,10,19,2,0,13-14
25,31/08/13,Getafe,0,Visitante,Valladolid,Derrota,Empate,0,0,5,8,2,0,13-14
26,01/09/13,Espanol,0,Local,Betis,Empate,Empate,0,3,7,19,2,0,13-14
26,01/09/13,Betis,0,Visitante,Espanol,Empate,Empate,0,3,7,14,4,0,13-14
27,01/09/13,Real Madrid,3,Local,Ath Bilbao,Victoria,Victoria,2,7,9,15,1,0,13-14
27,01/09/13,Ath Bilbao,1,Visitante,Real Madrid,Derrota,Derrota,0,2,6,13,2,0,13-14
28,01/09/13,Sevilla,2,Local,Malaga,Empate,Empate,1,7,10,17,3,0,13-14
28,01/09/13,Malaga,2,Visitante,Sevilla,Empate,Empate,1,6,1,13,3,1,13-14
29,01/09/13,Sociedad,1,Local,Ath Madrid,Derrota,Derrota,0,4,5,19,2,0,13-14
29,01/09/13,Ath Madrid,2,Visitante,Sociedad,Victoria,Victoria,1,9,5,21,4,0,13-14
30,01/09/13,Valencia,2,Local,Barcelona,Derrota,Derrota,2,10,5,20,2,0,13-14
30,01/09/13,Barcelona,3,Visitante,Valencia,Victoria,Victoria,3,9,7,11,3,0,13-14
31,14/09/13,Ath Madrid,4,Local,Almeria,Victoria,Victoria,2,8,8,15,2,0,13-14
31,14/09/13,Almeria,2,Visitante,Ath Madrid,Derrota,Derrota,1,2,1,17,4,0,13-14
32,14/09/13,Barcelona,3,Local,Sevilla,Victoria,Victoria,1,10,6,12,2,0,13-14
32,14/09/13,Sevilla,2,Visitante,Barcelona,Derrota,Derrota,0,2,9,17,5,0,13-14
33,14/09/13,Levante,0,Local,Sociedad,Empate,Empate,0,5,5,16,3,0,13-14
33,14/09/13,Sociedad,0,Visitante,Levante,Empate,Empate,0,3,1,12,1,0,13-14
34,14/09/13,Villarreal,2,Local,Real Madrid,Empate,Empate,1,9,10,14,2,0,13-14
34,14/09/13,Real Madrid,2,Visitante,Villarreal,Empate,Empate,1,6,3,13,3,0,13-14
35,15/09/13,Betis,3,Local,Valencia,Victoria,Victoria,3,9,7,15,0,0,13-14
35,15/09/13,Valencia,1,Visitante,Betis,Derrota,Derrota,0,2,13,3,1,0,13-14
36,15/09/13,Getafe,2,Local,Osasuna,Victoria,Empate,1,5,7,15,2,0,13-14
36,15/09/13,Osasuna,1,Visitante,Getafe,Derrota,Empate,1,6,4,17,4,0,13-14
37,15/09/13,Granada,0,Local,Espanol,Derrota,Empate,0,1,4,17,3,1,13-14
