MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,23/08/14,Almeria,1,Local,Espanol,Empate,Empate,0,6,11,8,3,0,14-15
1,23/08/14,Espanol,1,Visitante,Almeria,Empate,Empate,0,2,7,9,2,1,14-15
2,23/08/14,Granada,2,Local,La Coruna,Victoria,Derrota,0,3,5,13,1,0,14-15
2,23/08/14,La Coruna,1,Visitante,Granada,Derrota,Victoria,1,1,3,26,2,0,14-15
3,23/08/14,Malaga,1,Local,Ath Bilbao,Victoria,Victoria,1,3,5,13,3,2,14-15
3,23/08/14,Ath Bilbao,0,Visitante,Malaga,Derrota,Derrota,0,5,4,9,3,0,14-15
4,23/08/14,Sevilla,1,Local,Valencia,Empate,Victoria,1,3,3,23,4,0,14-15
4,23/08/14,Valencia,1,Visitante,Sevilla,Empate,Derrota,0,1,3,8,2,1,14-15
5,24/08/14,Barcelona,3,Local,Elche,Victoria,Victoria,1,6,3,11,0,1,14-15
5,24/08/14,Elche,0,Visitante,Barcelona,Derrota,Derrota,0,0,1,13,1,0,14-15
6,24/08/14,Celta,3,Local,Getafe,Victoria,Victoria,1,8,4,19,4,0,14-15
6,24/08/14,Getafe,1,Visitante,Celta,Derrota,Derrota,0,3,4,15,1,0,14-15
7,24/08/14,Eibar,1,Local,Sociedad,Victoria,Victoria,1,5,5,13,4,0,14-15
7,24/08/14,Sociedad,0,Visitante,Eibar,Derrota,Derrota,0,4,6,14,1,0,14-15
8,24/08/14,Levante,0,Local,Villarreal,Derrota,Empate,0,2,3,11,1,0,14-15
8,24/08/14,Villarreal,2,Visitante,Levante,Victoria,Empate,0,6,4,14,3,0,14-15
9,25/08/14,Real Madrid,2,Local,Cordoba,Victoria,Victoria,1,8,8,9,1,0,14-15
9,25/08/14,Cordoba,0,Visitante,Real Madrid,Derrota,Derrota,0,2,5,13,2,0,14-15
10,25/08/14,Vallecano,0,Local,Ath Madrid,Empate,Empate,0,2,2,13,2,0,14-15
10,25/08/14,Ath Madrid,0,Visitante,Vallecano,Empate,Empate,0,2,4,17,2,0,14-15
11,29/08/14,Getafe,1,Local,Almeria,Victoria,Victoria,1,3,2,17,3,0,14-15
11,29/08/14,Almeria,0,Visitante,Getafe,Derrota,Derrota,0,4,3,11,2,0,14-15
12,29/08/14,Valencia,3,Local,Malaga,Victoria,Victoria,2,4,4,18,1,0,14-15
12,29/08/14,Malaga,0,Visitante,Valencia,Derrota,Derrota,0,4,6,11,2,1,14-15
13,30/08/14,Ath Bilbao,3,Local,Levante,Victoria,Victoria,1,5,2,13,1,0,14-15
13,30/08/14,Levante,0,Visitante,Ath Bilbao,Derrota,Derrota,0,2,11,17,4,0,14-15
14,30/08/14,Ath Madrid,2,Local,Eibar,Victoria,Victoria,2,6,5,12,3,0,14-15
14,30/08/14,Eibar,1,Visitante,Ath Madrid,Derrota,Derrota,1,2,5,18,0,0,14-15
15,30/08/14,Cordoba,1,Local,Celta,Empate,Empate,0,1,1,14,1,0,14-15
15,30/08/14,Celta,1,Visitante,Cordoba,Empate,Empate,0,4,6,17,4,0,14-15
16,30/08/14,Espanol,1,Local,Sevilla,Derrota,Derrota,0,2,3,20,4,0,14-15
16,30/08/14,Sevilla,2,Visitante,Espanol,Victoria,Victoria,1,6,7,24,2,0,14-15
17,31/08/14,Elche,1,Local,Granada,Empate,Empate,0,3,8,12,4,0,14-15
17,31/08/14,Granada,1,Visitante,Elche,Empate,Empate,0,4,4,17,4,0,14-15
18,31/08/14,La Coruna,2,Local,Vallecano,Empate,Empate,1,5,2,16,4,0,14-15
18,31/08/14,Vallecano,2,Visitante,La Coruna,Empate,Empate,1,2,4,18,6,0,14-15
19,31/08/14,Sociedad,4,Local,Real Madrid,Victoria,Empate,2,5,8,18,1,0,14-15
