ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,Season
1,Ath Madrid,90,38,28,6,4,77,26,51,13-14
2,Barcelona,87,38,27,6,5,100,33,67,13-14
3,Real Madrid,87,38,27,6,5,104,38,66,13-14
4,Ath Bilbao,70,38,20,10,8,66,39,27,13-14
5,Sevilla,63,38,18,9,11,69,52,17,13-14
6,Villarreal,59,38,17,8,13,60,44,16,13-14
7,Sociedad,59,38,16,11,11,62,55,7,13-14
8,Valencia,49,38,13,10,15,51,53,-2,13-14
9,Celta,49,38,14,7,17,49,54,-5,13-14
10,Levante,48,38,12,12,14,35,43,-8,13-14
11,Malaga,45,38,12,9,17,39,46,-7,13-14
12,Vallecano,43,38,13,4,21,46,80,-34,13-14
13,Getafe,42,38,11,9,18,35,54,-19,13-14
14,Espanol,42,38,11,9,18,41,51,-10,13-14
15,Granada,41,38,12,5,21,32,56,-24,13-14
16,Elche,40,38,9,13,16,30,50,-20,13-14
17,Almeria,40,38,11,7,20,43,71,-28,13-14
18,Osasuna,39,38,10,9,19,32,62,-30,13-14
19,Valladolid,36,38,7,15,16,38,60,-22,13-14
20,Betis,25,38,6,7,25,36,78,-42,13-14
