MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,16/08/2019,Ath Bilbao,1,Local,Barcelona,Victoria,Empate,0,5,3,14,1,0,19-20
1,16/08/2019,Barcelona,0,Visitante,Ath Bilbao,Derrota,Empate,0,2,8,9,1,0,19-20
2,17/08/2019,Celta,1,Local,Real Madrid,Derrota,Derrota,0,4,6,17,5,0,19-20
2,17/08/2019,Real Madrid,3,Visitante,Celta,Victoria,Victoria,1,11,4,12,2,1,19-20
3,17/08/2019,Valencia,1,Local,Sociedad,Empate,Empate,0,6,3,13,4,1,19-20
3,17/08/2019,Sociedad,1,Visitante,Valencia,Empate,Empate,0,3,3,14,4,0,19-20
4,17/08/2019,Mallorca,2,Local,Eibar,Victoria,Victoria,1,4,9,13,2,0,19-20
4,17/08/2019,Eibar,1,Visitante,Mallorca,Derrota,Derrota,0,5,3,14,3,0,19-20
5,17/08/2019,Leganes,0,Local,Osasuna,Derrota,Empate,0,2,8,17,1,1,19-20
5,17/08/2019,Osasuna,1,Visitante,Leganes,Victoria,Empate,0,2,0,11,4,0,19-20
6,17/08/2019,Villarreal,4,Local,Granada,Empate,Empate,1,7,2,10,3,0,19-20
6,17/08/2019,Granada,4,Visitante,Villarreal,Empate,Empate,1,7,7,16,1,0,19-20
7,18/08/2019,Alaves,1,Local,Levante,Victoria,Empate,0,2,2,18,2,0,19-20
7,18/08/2019,Levante,0,Visitante,Alaves,Derrota,Empate,0,4,9,15,1,0,19-20
8,18/08/2019,Espanol,0,Local,Sevilla,Derrota,Derrota,0,2,8,11,2,0,19-20
8,18/08/2019,Sevilla,2,Visitante,Espanol,Victoria,Victoria,1,4,4,17,2,0,19-20
9,18/08/2019,Betis,1,Local,Valladolid,Derrota,Empate,0,4,6,11,2,1,19-20
9,18/08/2019,Valladolid,2,Visitante,Betis,Victoria,Empate,0,3,1,19,6,0,19-20
10,18/08/2019,Ath Madrid,1,Local,Getafe,Victoria,Victoria,1,5,3,19,3,1,19-20
10,18/08/2019,Getafe,0,Visitante,Ath Madrid,Derrota,Derrota,0,0,4,22,4,1,19-20
11,23/08/2019,Granada,0,Local,Sevilla,Derrota,Empate,0,0,6,13,1,0,19-20
11,23/08/2019,Sevilla,1,Visitante,Granada,Victoria,Empate,0,6,6,14,1,0,19-20
12,23/08/2019,Levante,2,Local,Villarreal,Victoria,Derrota,0,4,7,5,1,0,19-20
12,23/08/2019,Villarreal,1,Visitante,Levante,Derrota,Victoria,1,6,3,9,2,0,19-20
13,24/08/2019,Osasuna,0,Local,Eibar,Empate,Empate,0,2,6,15,4,0,19-20
13,24/08/2019,Eibar,0,Visitante,Osasuna,Empate,Empate,0,0,6,12,4,0,19-20
14,24/08/2019,Real Madrid,1,Local,Valladolid,Empate,Empate,0,4,4,12,2,0,19-20
14,24/08/2019,Valladolid,1,Visitante,Real Madrid,Empate,Empate,0,2,3,11,2,0,19-20
15,24/08/2019,Celta,1,Local,Valencia,Victoria,Victoria,1,6,6,8,1,0,19-20
15,24/08/2019,Valencia,0,Visitante,Celta,Derrota,Derrota,0,1,4,12,2,0,19-20
16,24/08/2019,Getafe,1,Local,Ath Bilbao,Empate,Empate,1,2,4,15,2,0,19-20
16,24/08/2019,Ath Bilbao,1,Visitante,Getafe,Empate,Empate,1,2,6,11,1,0,19-20
17,25/08/2019,Alaves,0,Local,Espanol,Empate,Empate,0,2,3,13,3,0,19-20
17,25/08/2019,Espanol,0,Visitante,Alaves,Empate,Empate,0,1,5,10,1,0,19-20
18,25/08/2019,Mallorca,0,Local,Sociedad,Derrota,Empate,0,4,5,16,1,0,19-20
18,25/08/2019,Sociedad,1,Visitante,Mallorca,Victoria,Empate,0,4,5,12,2,0,19-20
19,25/08/2019,Leganes,0,Local,Ath Madrid,Derrota,Empate,0,4,9,12,4,0,19-20
19,25/08/2019,Ath Madrid,1,Visitante,Leganes,Victoria,Empate,0,4,4,13,5,0,19-20
20,25/08/2019,Barcelona,5,Local,Betis,Victoria,Empate,1,7,11,14,1,0,19-20
20,25/08/2019,Betis,2,Visitante,Barcelona,Derrota,Empate,1,3,0,12,1,0,19-20
21,30/08/2019,Sevilla,1,Local,Celta,Empate,Empate,0,5,9,16,4,0,19-20
21,30/08/2019,Celta,1,Visitante,Sevilla,Empate,Empate,0,1,1,9,2,0,19-20
22,30/08/2019,Ath Bilbao,2,Local,Sociedad,Victoria,Victoria,2,5,3,17,2,0,19-20
22,30/08/2019,Sociedad,0,Visitante,Ath Bilbao,Derrota,Derrota,0,2,0,17,3,0,19-20
23,31/08/2019,Osasuna,2,Local,Barcelona,Empate,Victoria,1,5,3,16,3,0,19-20
23,31/08/2019,Barcelona,2,Visitante,Osasuna,Empate,Derrota,0,4,2,9,4,0,19-20
24,31/08/2019,Getafe,1,Local,Alaves,Empate,Empate,1,1,4,11,3,0,19-20
24,31/08/2019,Alaves,1,Visitante,Getafe,Empate,Empate,1,1,2,17,1,0,19-20
25,31/08/2019,Levante,2,Local,Valladolid,Victoria,Empate,0,3,6,9,2,0,19-20
25,31/08/2019,Valladolid,0,Visitante,Levante,Derrota,Empate,0,4,6,10,2,0,19-20
26,31/08/2019,Betis,2,Local,Leganes,Victoria,Empate,0,5,11,14,4,0,19-20
